Age,BusinessTravel,DailyRate,Department_Human Resources,Department_Research & Development,Department_Sales,DistanceFromHome,Education,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Environment Satisfaction,Gender_Female,Gender_Male,HourlyRate,JobInvolvement,JobLevel,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,JobSatisfaction,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime_No,OverTime_Yes,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSincePromotion,YearsWithCurrManager
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.6405005088059302,-0.1098030244887583,-1.1048503364842568,1.1042665916608903,2.082850613361016,1.2172165655059888,1.194888448362838,1.7193942140291383,-1.019920084381037,-1.4837235146827008,-0.7972048024636468,0.9390922231898374,-1.1000081917604212,0.5732715967011787,-0.3783563491881094,0.23121111574787365,-0.9375808961800423,-1.2080146576754491,1.0224113543763487,0.35005589816197374,-0.9797065320514161,-1.2026282823251786,-0.6829407087229475,-1.2070487257275189
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.32293981862710525,-0.1098030244887583,-1.6913625167430582,-0.8736314725573969,1.1052946610936225,0.28957295887556017,1.0461796240032706,-1.054796743306309,-1.019920084381037,-1.4837235146827008,-0.4867330123458487,-0.9897006598515469,-0.6975483553328036,-1.1418740129767362,-0.3783563491881094,0.23121111574787365,-0.9375808961800423,-0.6924328789154395,0.21877561077953245,0.35005589816197374,-0.14251934352733076,0.2218089136360712,-0.37424478541995815,-0.317106021165704
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.1112326918412219,-0.1098030244887583,1.1598752671201062,-0.13191969847553922,0.12773870882622906,-1.565714254385297,0.6000531509245692,-1.054796743306309,-1.019920084381037,-1.4837235146827008,-0.9309800158898419,-0.8370822469793142,-1.1000081917604212,1.716702003153122,2.6430110189662113,0.23121111574787365,-0.9375808961800423,-0.6924328789154395,0.21877561077953245,0.35005589816197374,-0.3099567812321478,-0.06307852555617877,-0.6829407087229475,-0.317106021165704
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.9580611989847553,-2.00047385240457,-1.2995329509399094,-0.9972501015710399,-0.8498172434411643,0.28957295887556017,-1.0853135251505248,0.33229873536141463,-1.019920084381037,1.2173722670028766,-0.8516735375720325,-0.5803242112060286,-0.6975483553328036,0.001556393475206986,-0.3783563491881094,-0.6853164006339849,0.2582688116792246,-1.0791192129854468,-0.5848601328172838,0.35005589816197374,-0.644831656641782,-0.6328534039406787,-0.06554886211696874,-0.6137535893529756
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.005379128448280233,-0.1098030244887583,-0.0008274089382778573,-0.3791569565028251,1.1052946610936225,0.28957295887556017,-0.09392136275341068,0.33229873536141463,-1.019920084381037,-1.4837235146827008,-0.9895883748664648,1.236456424921889,0.5098311539500492,2.0025596047661076,2.6430110189662113,1.1477386321297323,-0.9375808961800423,-0.563537434225437,0.21877561077953245,0.35005589816197374,-0.644831656641782,-0.6328534039406787,-0.6829407087229475,-0.6137535893529756
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.005379128448280233,-0.1098030244887583,-0.3359772262290215,1.2278852206745332,0.12773870882622906,0.28957295887556017,0.9966100158834149,0.33229873536141463,-0.08640518987281223,0.3170070064410174,-0.18454046996452528,1.6293970444888592,0.10737131752243162,0.5732715967011787,-0.3783563491881094,-1.6018439170158434,2.6499682273977583,-0.3057465448454322,-0.5848601328172838,-1.0786907676694892,-0.4773942189369649,-0.3479659647484287,-0.6829407087229475,-0.6137535893529756
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2063279983376031,-0.1098030244887583,-0.2102960447449926,1.845978365742748,-1.8273731957085577,-0.6380706477548684,-0.2426301871129778,-1.054796743306309,1.7806245991436371,1.2173722670028766,1.1800102819707514,-0.8104258183057025,-1.1000081917604212,-1.1418740129767362,-0.3783563491881094,-1.6018439170158434,0.2582688116792246,1.2409987914345968,-0.5848601328172838,-1.0786907676694892,2.2016047843401085,1.361358670405071,2.095322601003957,0.5728366833961108
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.21708625523416358,-0.1098030244887583,-0.17333099136733707,0.1153175595517467,0.12773870882622906,1.2172165655059888,-0.49047822771225635,-1.054796743306309,0.8471097046354125,-1.4837235146827008,0.8041760097228906,0.9439262905658811,2.522130336088137,0.5732715967011787,-0.3783563491881094,0.23121111574787365,-0.9375808961800423,0.4676261232945823,0.21877561077953245,0.35005589816197374,1.0295427204063887,2.216020987981821,1.169234831094989,-1.2070487257275189
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.5931825793424053,-0.1098030244887583,-0.5577675464949547,-0.9972501015710399,-0.8498172434411643,1.2172165655059888,-0.09392136275341068,0.33229873536141463,-1.019920084381037,0.3170070064410174,-0.7059152024219925,0.40444437139941863,-1.1000081917604212,-0.8560164113637505,-0.3783563491881094,1.1477386321297323,-0.9375808961800423,-0.9502237682954443,-0.5848601328172838,1.7788025639934368,-0.644831656641782,-0.6328534039406787,-0.37424478541995815,-0.6137535893529756
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.746354072198872,-0.1098030244887583,1.3570222184676026,1.845978365742748,-1.8273731957085577,1.2172165655059888,0.10435706972601218,0.33229873536141463,-1.019920084381037,0.3170070064410174,-0.8545059117976684,-0.18793605648203482,-0.6975483553328036,2.0025596047661076,2.6430110189662113,-0.6853164006339849,0.2582688116792246,-1.3369101023654515,-0.5848601328172838,0.35005589816197374,-0.9797065320514161,-1.2026282823251786,-0.6829407087229475,-1.2070487257275189
